academic_year,class_name,is_active
2025/2026,7A,true
2025/2026,7B,true
2025/2026,7C,true
2025/2026,7D,true
2025/2026,7E,true
2025/2026,7F,true
2025/2026,7G,true
2025/2026,7H,true
2025/2026,7I,true
2025/2026,7J,true
2025/2026,7K,true
2025/2026,8A,true
2025/2026,8B,true
2025/2026,8C,true
2025/2026,8D,true
2025/2026,8E,true
2025/2026,8F,true
2025/2026,8G,true
2025/2026,8H,true
2025/2026,8I,true
2025/2026,8J,true
2025/2026,8K,true
2025/2026,9A,true
2025/2026,9B,true
2025/2026,9C,true
2025/2026,9D,true
2025/2026,9E,true
2025/2026,9F,true
2025/2026,9G,true
2025/2026,9H,true
2025/2026,9I,true
2025/2026,9J,true
